"identity_key","system_id","tango_touchpoints","what_it_drives","interface","autonomy","failure_handling","access_status"
"doi:10.6084/m9.figshare.30931802","OHMind","optimisation-loop;solver-control;verification-regression","density functional theory and molecular dynamics calculations used as physics verifiers, and a particle-swarm search over a 56-dimensional chemical latent space","mcp","executes-and-iterates","the agents are described as reasoning about simulation failures and adapting search strategies, with no mechanism stated","abstract-only"
"title:agenticaienabledphysicsinformedmachinelearningframeworkforintelligentbuildingmodelingcontrolandautomation","Jiang2026-agentic-BESTOpt","config-generation;solver-control;results-interpretation","the BESTOpt building-HVAC-distributed-energy-resource simulation platform, scaling from single-zone buildings to a 30-building residential cluster","mcp","executes-and-iterates","not stated","abstract-only"
"doi:10.1016/j.net.2026.104573","OPTIMA","optimisation-loop;surrogate-modelling;uncertainty-quantification","a validated ensemble Bayesian-optimisation tool and the deep-ensemble models it tunes, on the OECD/NEA critical heat flux benchmark","not stated","executes-and-iterates","the supervisor coordinates the agents through explicit invocation, error-detection and termination protocols, confining model stochasticity to recoverable workflow steps","abstract-only"
"doi:10.26434/chemrxiv-2025-f1wcr","Honegumi RAG Assistant","optimisation-loop;config-generation","Bayesian optimisation pipelines on the Ax Platform, emitted as generated Python code from Honegumi skeletons","code-execution","suggests","not stated","abstract-only"
"doi:10.26434/chemrxiv.15005838/v1","Raven","surrogate-modelling;optimisation-loop;verification-regression;provenance-reproducibility","a fine-tuned quantum-chemistry property model used as a frozen forward verifier against an inverse generator, inside a replayable state graph","not stated","executes-and-iterates","not stated; the frozen forward model acts as a verifier and reward signal rather than an error handler","abstract-only"
"doi:10.1016/j.jma.2025.08.021","Cat-Advisor","surrogate-modelling;optimisation-loop","machine-learning property models for magnesium hydride dehydrogenation and a genetic algorithm performing exploratory inverse design over them","not stated","suggests","not stated","abstract-only"
"doi:10.5281/zenodo.20388035","OASiS","tool-exposure;config-generation;topology-construction;solver-control;verification-regression","seven independently developed finite-element solvers - FEniCSx, deal.II, 4C Multiphysics, NGSolve, scikit-fem, Kratos Multiphysics and DUNE-fem - plus mesh generation and multi-solver coupling","mcp","executes-with-approval","not stated","abstract-only"
"doi:10.2139/ssrn.6672588","VirtualLab_CC","config-generation;solver-control;hpc-scale-out;results-interpretation","quantum chemistry calculations submitted as Slurm jobs on an HPC cluster, across conformer searches, production runs and multi-method validation","cli","executes-with-approval","the system is reported to have identified and autocorrected cluster failures and to include failure diagnosis among its automated operations, with no mechanism stated","abstract-only"
"doi:10.1145/3785462.3815873","BioCodex","tool-exposure;hpc-scale-out;provenance-reproducibility;verification-regression","genomics tools dispatched as Slurm batch jobs on a production cluster through hash-verified run specifications","mcp","executes-and-iterates","tampered execution plans are rejected before scheduling; nothing is stated about a failed or non-converging job","abstract-only"
"doi:10.26434/chemrxiv.15002405/v1","Q-planner","config-generation;solver-control;hpc-scale-out","quantum chemistry tool nodes dispatched in parallel by a deterministic executor, up to 200 concurrently from a single planning call","not stated","executes-and-iterates","not stated","abstract-only"
"doi:10.26434/chemrxiv.15007941/v1","TanabeSugano","tool-exposure;solver-control","an open-source Python Tanabe-Sugano diagram solver computing term energies, comparing configurations and fitting measured absorption bands","mcp","executes-and-iterates","not stated","abstract-only"
"doi:10.2139/ssrn.6942178","Kim2026-llm-guided-nemd-screening","config-generation;solver-control;optimisation-loop;uncertainty-quantification","LAMMPS reverse non-equilibrium molecular dynamics runs on randomly generated face-centred-cubic supercells of a cobalt-chromium-nickel alloy, with equilibration and production stages","not stated","executes-and-iterates","a reliability filter combining uncertainty thresholding and split-branch temperature-gradient fitting distinguishes physically meaningful candidates from numerical artefacts","abstract-only"
"doi:10.1039/d5dd00435g","Vriza2025-multi-agentic-atomistic-simulations","config-generation;topology-construction;solver-control;hpc-scale-out;results-interpretation;verification-regression","LAMMPS input scripts and runs on the Argonne Carbon HPC cluster - Atomsk-generated crystal structures, EAM potential files fetched from the NIST repository, and LAMMPS relaxation, elastic-constant, phonon and melting simulations, with Phonopy and OVITO post-processing","file-io","executes-and-iterates","the LAMMPS input reviewer agent ""monitors the output logs from each simulation and parses for known failure signatures, including invalid commands (e.g., misnamed keywords or deprecated syntax), numerical instabilities (e.g., atom loss, box deformation) and missing potential files or incorrect atom types"", then collaborates with the relevant task agent to correct and resubmit; a pre-flight function check refuses to write an input file unless a valid potential and structure file are present; and a vision agent inspects OVITO frames and resubmits at higher temperature or longer runtime when the solid-liquid ratio or full melting is not reached","full-text"
"doi:10.2139/ssrn.7333555","Geo2UBEM","config-generation;topology-construction;optimisation-loop;uncertainty-quantification;results-interpretation;verification-regression","EnergyPlus 23.2 IDF files for six named Purdue University campus buildings - geometry written from street-level reconstruction, then equipment density, lighting density, infiltration and schedule parameters rewritten each iteration and re-simulated through an Optuna TPE loop at 25 EnergyPlus runs per pass","file-io","executes-and-iterates","three safeguards sit between the LLM and the optimiser: ""Hard physical clamping. Every suggested [min, max] range is truncated to the global physical limits stored in the configuration file (e.g. equipment density [1, 200] W/m2; infiltration [0.01, 2.0] ACH)""; ""Inverted-range detection. If clamping collapses the range to min >= max, the LLM suggestion is discarded and the global configuration bounds are used instead""; and ""JSON parse fallback. If the LLM response fails to parse, a dedicated JSONDecodeError handler, followed by a general Exception catch, substitutes the global bounds for any affected parameter."" A two-tier human-in-the-loop gate routes any building with confidence < 0.7 or a non-empty concerns list to a human-review queue, and ""the HITL flag triggers review rather than automatic rollback"". Non-convergence is bounded by MAX_ITER = 10 and an early stop when two consecutive CV(RMSE) improvements fall below 0.5%","full-text"
